,beer_karma,beer_marked,join_date,location,sex,user_id,user_name
320,719,"1,574","Aug 7, 2011",Iowa,Male,614584,herky21
321,0,"2,161","Mar 20, 2012",Michigan,Male,666880,tectactoe
322,552,"1,782","Jan 29, 2012",Wisconsin,Wisconsin,657217,jakea
323,"1,029","2,201","Feb 6, 2007",Florida,Male,121146,flbeerguy
324,"1,192","1,970","Dec 6, 2011",North Carolina,Male,640773,mantooth
325,"3,314","2,477","Dec 8, 2001",Minnesota,Minnesota,188,bighuge
326,"2,881","1,945","Aug 31, 2001",Minnesota,Male,111,garymuchow
327,"1,287","5,585","Oct 18, 2007",Connecticut,Male,165821,phineasmcclintock
328,573,"1,949","Jan 30, 2012",Quebec (Canada),Quebec (Canada),657393,jfcaa193
329,985,"2,841","Nov 11, 2005",Alabama,Male,48530,harpus
330,"2,005","3,634","Jan 4, 2013",California,Male,711362,stoutsnob40
331,591,"2,005","Jul 16, 2006",Delaware,Male,88921,rogue16
332,"2,987","1,883","Jan 8, 2007",Missouri,Male,115786,monkeyknife
333,971,"2,025","May 9, 2013",Louisiana,Male,731914,jamesstreet
334,"1,441","4,394","Nov 10, 2013",Pennsylvania,Male,763288,pa-michigander
335,"1,910","1,875","May 28, 2010",California,Male,463725,notchucknorris
336,562,"1,832","Feb 18, 2012",New York,New York,660291,beerbucks
337,"2,289","3,159","Oct 4, 2002",Virginia,Male,844,rborsato
338,707,"2,148","Sep 14, 2012",Pennsylvania,Male,694262,casey3236
339,567,"1,412","May 16, 2013",Maryland,Male,732781,devman171
340,"1,728","1,621","Jul 30, 2007",Ohio,Male,150451,nrbw23
341,"2,309","1,713","Feb 22, 2010",Massachusetts,Male,430569,flounder57
342,0,"1,619","Dec 3, 2012",Ohio,Male,706038,jimmyflatrock
343,727,"1,788","Apr 3, 2006",Michigan,Male,72955,szmnnl99
344,526,"1,802","Nov 24, 2013",New Jersey,Male,765942,bkwhoppa66
345,"1,191","2,178","Apr 23, 2010",Michigan,Michigan,451841,warnerry
346,"2,323","3,074","May 21, 2008",Colorado,Male,221381,haybeerman
347,"2,170","1,547","Jun 1, 2006",Massachusetts,Male,81765,damian
348,"1,916","3,511","Apr 21, 2010",California,Male,450970,gobzilla
349,"2,374","1,812","Aug 22, 2011",Pennsylvania,Male,617300,57md
350,"3,009","2,249","Feb 19, 2005",Minnesota,Male,15201,karlhungus
351,"2,084","2,314","Mar 5, 2014",Virginia,Male,786709,hophugger
352,"3,908","2,959","Aug 8, 2001",New Hampshire,Male,84,jdhilt
353,835,"1,792","Jul 31, 2010",Pennsylvania,Male,486333,lehighace06
354,560,"1,782","Dec 13, 2009",Michigan,Male,404090,mrebeka
355,0,"2,361","Mar 29, 2012",Indiana,Male,670093,msandahl23
356,"1,042","1,760","Dec 30, 2007",Pennsylvania,Male,182874,morey
357,0,"1,939","Feb 5, 2007",California,Male,120975,illidurit
358,651,"1,683","Nov 12, 2013",Maryland,Male,763685,craigtravor
359,"3,600","2,890","Apr 1, 2003",Pennsylvania,Male,1843,weeare138
360,"1,688","2,204","Feb 17, 2011",Maryland,Male,568544,stephenjmoore
361,"3,366","2,234","May 12, 2005",Washington,Male,19214,dirtylou
362,"1,766","2,365","Jul 30, 2009",District of Columbia,Male,354555,daniellobo
363,"2,751","2,581","Apr 3, 2005",Illinois,Male,17340,scruffwhor
364,"1,039","4,802","Jul 18, 2011",Pennsylvania,Male,610738,dfhhead25
365,"2,945","2,177","Dec 25, 2006",Georgia,Female,113659,cyberkedi
366,470,"1,338","Feb 8, 2009",Maryland,Male,296418,deutschesbier
367,530,"1,364","Sep 18, 2007",Massachusetts,Male,159300,pisano
368,405,"1,542","Feb 3, 2006",Pennsylvania,Male,63326,rydev24
369,857,"1,740","Jan 30, 2007",Virginia,Male,119720,andrewmichael
